runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution_cost,min_f_value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate_conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime_duplicate_conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver_name,instance_name
60.0011,9270,18528,2841937,3816213,-1,64,34,61,1537,9265,0,2,0,3,0,0,26862,73,50.8705,0.011908,0.037787,0.038712,1.6005,5.38699,0.022815,0.511859,0.026382,0.032013,1.03211,1.0877,21194,1.7E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
60.0003,9184,18356,2815763,3780865,-1,64,34,61,1519,9179,0,2,0,3,0,0,26574,72,50.7398,0.011927,0.012545,0.04006,1.61772,5.49452,0,0.518822,0.026066,0.029591,1.04404,1.07535,20994,1.8E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.56762,21,39,5964,8099,55,55,26,55,1,16,0,2,0,2,0,0,30,0,0.515948,2E-05,7.4E-05,4.8E-05,0.001291,0.045997,4.8E-05,0.001474,2.6E-05,0.000485,0.002387,0.002486,42,1.7E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
0.567941,21,39,5964,8099,55,55,26,55,1,16,0,2,0,2,0,0,30,0,0.517127,1.8E-05,2.4E-05,5.6E-05,0.00129,0.045336,0,0.001464,2.8E-05,0.000432,0.002291,0.002345,42,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0186,5924,23258,4007941,5210229,-1,88,35,76,107,21,0,1,0,2806,3603,0,3664,24622,15.1547,0.014953,0.067553,0.034771,1.06376,19.2001,0.048437,0.01928,0.028823,0.370427,1.99886,2.09159,30648,1.8E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0001,5106,10212,1567769,2116077,-1,90,35,76,8,5066,0,1,0,39,0,0,9905,620,53.7314,0.005354,0.007551,0.031262,0.639559,3.87529,0,0.28788,0.018752,0.464773,1.12853,1.14606,10224,1.4E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
0.00547,9,17,1141,1712,43,43,29,39,1,4,0,2,0,3,0,0,19,0,0.003215,1.1E-05,2.9E-05,1.2E-05,0.000114,0.001375,1.8E-05,0.000168,6E-06,2.2E-05,0.000434,0.00047,19,1.7E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
0.004905,9,17,1141,1712,43,43,29,39,1,4,0,2,0,3,0,0,19,0,0.002715,1.1E-05,1.2E-05,1.2E-05,0.000124,0.001359,0,0.000157,5E-06,2E-05,0.000418,0.000437,19,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
0.563621,50,95,7514,11562,111,111,41,105,2,37,0,3,0,9,3,0,187,0,0.413762,0.004112,0.000573,0.000489,0.025487,0.100219,0.000473,0.00257,0.000132,0.001522,0.004306,0.004968,101,1.6E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
0.576374,51,97,7646,11773,111,111,41,105,2,38,0,3,0,9,0,0,191,0,0.421217,0.004019,9.5E-05,0.000488,0.026928,0.103694,0,0.002733,0.000119,0.001682,0.004552,0.004749,103,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
